download,upload,ping,timestamp,bytes_sent,bytes_received,share,cc,country,d,host,id,lat,latency,lon,name,sponsor,url,url2,country,ip,isp,ispdlavg,isprating,ispulavg,lat,loggedin,lon,rating
96734454.18,20452587.17,51.115,2020-01-16T22:32:26.317687Z,25681920,121249168,http://www.speedtest.net/result/8952552700.png,DE,Germany,815.7209962,speedtest.vodafone-ip.de:8080,1746,50.1109,51.115,8.6821,Frankfurt,Vodafone DE,http://speedtest.vodafone-ip.de:8080/speedtest/upload.php,http://145.253.248.206/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
88976762.52,17859280.12,41.535,2020-01-16T22:32:04.662993Z,22740992,111674768,http://www.speedtest.net/result/8952551999.png,FR,France,562.9178265,speedtest.naitways.net:8080,16476,48.8742,41.535,2.347,Paris,Naitways,http://speedtest.naitways.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
80045715.8,20680166.66,31.226,2020-01-16T22:31:43.117574Z,26247168,100372762,http://www.speedtest.net/result/8952551309.png,GB,United Kingdom,221.8417695,lon.host.speedtest.net:8080,11445,51.5171,31.226,-0.1062,London,Structured Communications,http://lon.host.speedtest.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
54722138.28,17400275.11,64.067,2020-01-16T22:32:47.769382Z,22126592,68882796,http://www.speedtest.net/result/8952553330.png,IT,Italy,1653.274024,spd-pub-rm-01-01.fastwebnet.it:8080,7898,41.9,64.067,12.5,Rome,Fastweb SpA,http://spd-pub-rm-01-01.fastwebnet.it:8080/speedtest/upload.php,http://spd-pub-rm-01-02.fastwebnet.it/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
46220620.83,15489912.94,105.517,2020-01-16T22:33:09.467635Z,19546112,58166836,http://www.speedtest.net/result/8952553980.png,TR,Turkey,3011.58682,speedtest.vodafone.com.tr:8080,2097,39.875,105.517,32.8333,Ankara,Vodafone TR,http://speedtest.vodafone.com.tr:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
38959738.23,15969967.38,148.024,2020-01-16T22:33:53.105170Z,20119552,49598416,http://www.speedtest.net/result/8952555256.png,US,United States,5714.430812,was.speedtest.sbcglobal.net:8080,5113,38.9047,148.024,-77.0164,"Washington, DC",AT&T,http://was.speedtest.sbcglobal.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
33805200.18,5853910.16,274.339,2020-01-16T22:38:30.887671Z,7421952,42929716,http://www.speedtest.net/result/8952563815.png,ID,Indonesia,11815.49888,speedtest.cbn.id:8080,12807,-6.1745,274.339,106.8227,Jakarta,CBN,http://speedtest.cbn.id:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
19714663.66,14949044.28,135.158,2020-01-16T22:33:30.950454Z,18948096,24882672,http://www.speedtest.net/result/8952554634.png,BM,Bermuda,5406.668297,speedtest.link.bm:8080,9337,32.3134,135.158,-64.7311,Smith's Parish,LinkBermuda Ltd.,http://speedtest.link.bm:8080/speedtest/upload.php,http://speedtest.link.bm/speedtest/upload.aspx,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
18962651.22,12610394.21,185.145,2020-01-16T22:34:36.836581Z,15966208,24042992,http://www.speedtest.net/result/8952556618.png,US,United States,7716.054503,aus.speedtest.sbcglobal.net:8080,5024,30.25,185.145,-97.75,"Austin, TX",AT&T,http://aus.speedtest.sbcglobal.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
15852837.66,10733924.1,204.682,2020-01-16T22:34:59.355452Z,13647872,20141552,http://www.speedtest.net/result/8952557322.png,US,United States,8277.953931,stosat-scrm-01.sys.comcast.net:8080,9436,38.5556,204.682,-121.4689,"Sacramento, CA",Comcast,http://stosat-scrm-01.sys.comcast.net:8080/speedtest/upload.php,http://a-stosat-scrm-01.sys.comcast.net/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
12007889.66,16473933.1,152.838,2020-01-16T22:34:15.025592Z,20783104,15144984,http://www.speedtest.net/result/8952555989.png,US,United States,6846.577269,stosat-tall-01.sys.comcast.net:8080,9125,30.4517,152.838,-84.2685,"Tallahassee, FL",Comcast,http://stosat-tall-01.sys.comcast.net:8080/speedtest/upload.php,http://a-stosat-tall-01.sys.comcast.net/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
9833112.7,8590678.701,270.465,2020-01-16T22:35:22.057004Z,10821632,12472896,http://www.speedtest.net/result/8952558150.png,MX,Mexico,8587.924401,speedtestmx.marcatel.com:8080,18897,23.6345,270.465,-102.5528,Mexico City,Marcatel COM,http://speedtestmx.marcatel.com:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
9724176.341,3693731.385,345.848,2020-01-16T22:36:57.362901Z,4784128,12677420,http://www.speedtest.net/result/8952560978.png,BR,Brazil,9207.097516,velocidade.onda.net.br:8080,2949,-19.8833,345.848,-47.45,Sacramento,ONDA INTERNET,http://velocidade.onda.net.br:8080/speedtest/upload.php,http://velocimetro.ondainternet.com.br/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
8704854.517,4013909.597,378.567,2020-01-16T22:39:18.353132Z,5455872,11096480,http://www.speedtest.net/result/8952565309.png,AU,Australia,17023.08222,cbr1.speedtest.telstra.net:8080,18711,-35.2809,378.567,149.13,Canberra,Telstra,http://cbr1.speedtest.telstra.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
8701793.611,6506932.602,261.206,2020-01-16T22:37:44.297082Z,8273920,11090496,http://www.speedtest.net/result/8952562337.png,TH,Thailand,9608.579058,speedtest-sp1.3bb.co.th:8080,8990,13.75,261.206,100.4833,Bangkok,3BB,http://speedtest-sp1.3bb.co.th:8080/speedtest/upload.php,http://speedtest-sp2.3bb.co.th/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
7880668.063,7544220.79,332.082,2020-01-16T22:36:33.958273Z,9633792,9941764,http://www.speedtest.net/result/8952560303.png,BR,BR,8817.328498,speedtest.bsa.g8.net.br:8080,17420,-15.7942,332.082,-47.8822,Brasilia,G8,http://speedtest.bsa.g8.net.br:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
7551853.516,2364128.668,340.419,2020-01-16T22:35:45.055411Z,3407872,9661580,http://www.speedtest.net/result/8952558845.png,BR,Brazil,8702.630755,testeservidor.infoxbm.com.br:8080,28374,-16.2132,340.419,-44.4336,Brasilia de Minas,Infox Bm,http://testeservidor.infoxbm.com.br:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
6414667.153,6762157.004,329.958,2020-01-16T22:36:10.038055Z,8757248,8422540,http://www.speedtest.net/result/8952559611.png,KR,South Korea,8807.929048,speedtest.kdatacenter.com:8080,6527,37.5833,329.958,127,Seoul,kdatacenter.com,http://speedtest.kdatacenter.com:8080/speedtest/upload.php,http://koreatest.kdatacenter.com/speedtest/upload.php,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
5321472.27,7542400.423,258.363,2020-01-16T22:37:21.267495Z,9560064,6802768,http://www.speedtest.net/result/8952561677.png,JP,Japan,9479.262724,ookla.mbspeed.net:8080,24333,35.6833,258.363,139.6833,Tokyo,"Rakuten Mobile , Inc",http://ookla.mbspeed.net:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
5052716.017,5869469.3,318.691,2020-01-16T22:38:07.326803Z,7520256,6485328,http://www.speedtest.net/result/8952563088.png,ID,Indonesia,10688.29111,speedtest.pancadewata.co.id:8080,26756,6.2615,318.691,106.8106,Jakarta Selatan,PT Panca Dewata Utama,http://speedtest.pancadewata.co.id:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
2163695.557,6583678.058,400.722,2020-01-16T22:38:53.964201Z,8421376,2881592,http://www.speedtest.net/result/8952564519.png,ID,Indonesia,12192.13596,speedtest.lungit.com:8080,11151,-7.7956,400.722,110.3695,Jogjakarta,Lungit Inc,http://speedtest.lungit.com:8080/speedtest/upload.php,,GB,82.26.219.136,Virgin Media,0,3.7,0,53.0806,0,-2.1331,0
